LISTE DES ARTICLES                                         

CODE                       DESCRIPTION                 P.U.
-----------------------------------------------------------

FACTUREVIDE           facture sans articles               0
aber                      bout aberlour                   0
absenta                      absenta                      0
absentaC                1 conso de absenta            3.000
affinity              champagne sans alcool          30.000
agavita                  tequila agavita                  0
agavitaC              conso de bout agavita           3.000
agbama                une portion de agbama               0
agneau                viande agneau sans os           5.000
agneauOs              viande agneau avec os               0
agneauSauce           agneau sauce arachide               0
agneauSauté                agneau sauté                   0
akassan                      akassan                  1.000
akpakpa                  cocktail akpakpa             3.500
alexanderGreat    vin rouge alexander the great      15.000
alloco                 1 portion de alloco            1.000
amour                     cocktail Amour              4.000
armEmil             bout A-R st emilion rouge             0
assokui                    sauce légume               5.000
atieke                  atiéké une portion            1.000
atomic                     atomic 33cl                2.000
attieke               une portion de attieke          1.000
baileys                      baileys                 30.000
baileysC                1 conso de baileys            3.000
balast              bout haut balastard rouge             0
baumeB                 bout dom baume blanc               0
baumeR            bout domaine de la baume rouge     30.000
bePink             cannette de vin rosé Be Pink       2.500
bePinkPack           4 cannettes de vin Rosé          7.500
beignetCrevet         Beignets de crevettes               0
ben                       bout benriach                   0
beni                      beninoise 33cl              2.000
bf                        beaufort 33cl               2.000
bièreNA             bière non alcoolisée 25cl         2.000
blackColaEnergy      black cola Energy drink          2.000
blackLab             bout black label 70 cl          40.000
blackLab1              bout black label 1L           55.000
blackLabC             conso black label 0.7L          4.000
blancPoulet        blanc de poulet une portion            0
boeuf                   1 portion de boeuf                0
bols                     vodka bols 70cl                  0
bordEru            bout bordeaux sup eru rouge            0
boris                      vodka boris                    0
bottega                liqueur bottega 70cl               0
bouey                bout maison bouey rouge         30.000
boyau                   1 portion de boyau            5.000
brizL                liqueur marie brizard mp             0
broBoeuf              une brochette de boeuf          4.000
broMerguez             brochette de merguez           2.000
broMixte               mini brochette mixte           2.000
broPoisson          1 portion darne de poisson        5.000
broPoulet             1 brochette de poulet           2.000
cHabano                cigare cohiba habano           5.000
cHabanoCM                cigare habano cm                 0
cHoyo                   cigare cohiba hoyo                0
cadiot                     cadiot 2016               30.000
cafeCap                  café en capsule              1.000
cafeSac                   sachet de café              1.000
calamar                calamar une portion                0
calend            bout les calendières vin rosé           0
calvaVSOP               calvados vsop 70cl           80.000
calvetRes         bout calvet grde reserve rouge          0
campari                 liqueur campari 1L           30.000
campariC                1/16 de campari 1L            4.000
camusVS                   camus vs 70cl              80.000
camusVSOP                bout camus VSOP             90.000
cappuccino            1 tasse de cappuccino           1.500
cardhu                     bout cardhu               60.000
carilloR           bout. vin rouge carillonade       25.000
cast                       castel 33cl                2.000
celeneCRBrut          bouteil de vin mouseux         35.000
champNA              champagne non alcoolisé         30.000
champNARo          champagne non alcoolisé rosé           0
champagneV            une coupe de champagne         10.000
chastMerl               chastagnac merlot            15.000
chastR            chastagnac  cabernet sauvignon     15.000
chastSauvB         bout chastagnac Sauv. blanc       20.000
chastSyRo           bout chastagnac syrah rosé            0
chatBelAir               chateau Bel Air             25.000
chatCol            bout chateau colombier rouge      25.000
chatFer            bout chateau ferrande rouge       20.000
chatFerboy                chateau Ferboy             15.000
